index_id,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,country,day_of_week
3307,138.9637476,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,100,1,2.030652516,0.258087128,90.27313067,3.401287406,141.2880255,2.109986822,23.723,37.991,,
3308,90.45532304,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,2,2.77351179,1.551244521,57.77921337,2.176990089,83.4845235,1.246752822,23.74738,37.99867,,
3309,162.3977691,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,9,93,3,1.971485662,0.023516693,93.87038284,3.536823733,132.6528431,1.981029531,23.73078,37.99294,,
3310,99.59459143,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,1,3.729315539,0.382991458,44.02186377,1.658644269,62.85935362,0.938737783,23.77,37.995,,
3311,90.45532304,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,2,2.928163783,1.487677644,54.71216814,2.061430761,79.14390869,1.181930343,23.75004,37.99925,,
3312,81.08171443,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,10,100,0,2.928766288,1.636088469,55.20098996,2.079848462,79.88957743,1.193066115,23.74672,38.00037,,
3313,87.17456003,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,97,1,2.264906587,0.541843877,85.09435488,3.206162847,134.4105263,2.007278665,23.716,37.989,,
3314,185.3631102,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,93,2,1.663066492,0.418261191,114.4663155,4.312831895,160.2598939,2.393311557,23.72872,37.98958,,
3315,208.5627915,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,10,94,2,2.500454217,0.247643546,62.56426711,2.357280092,95.38943703,1.42454008,23.7578,37.98944,,
3316,162.1634289,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,100,2,2.949466458,0.430316913,54.51747688,2.054095235,79.77275466,1.19132149,23.7639,37.98958,,
3317,249.3379889,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,10,100,3,5.608160018,0.814099121,30.45059612,1.147309596,44.25299035,0.66087148,23.7453,38.02546,,
3318,163.5694702,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,87,1,1.734417614,0.599954974,99.0726968,3.732835157,120.4620363,1.79897276,23.752,37.984,,
3319,92.79872519,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,100,1,4.562722184,0.591361032,36.09822382,1.360099436,50.91856152,0.760414716,23.77889,37.998,,
3320,120.4508706,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,93,1,2.399168172,0.774772142,69.18874246,2.606875342,101.1710386,1.510882168,23.73775,37.99709,,
3321,138.9637476,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,93,2,4.005659358,0.15205902,42.26699388,1.59252474,57.57576903,0.85983305,23.77483,37.99365,,
